S.No,Text,x0,y0,x1,y1,Page_No,height,width 
4166,,57,54,163,84,12,30,106
4167,,163,54,481,84,12,30,317
4168,Policies and Procedures - UCM System,54,778,244,794,13,15,190
4169,Page 4 of 4,503,778,558,794,13,15,54
4170,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116216,54,0,379,15,13,15,325
4171,6/13/2014,509,0,558,15,13,15,48
4172,,0,0,612,792,13,791,612
4173,Changed the female normal range for sed rate.,164,724,383,738,13,14,219
4174,Changed title (rv).,164,711,248,725,13,14,83
4175,Included the TEG normal ranges in the procedure per request of,164,698,467,712,13,14,302
4176,Chemistry consultant (ps).,164,686,289,700,13,14,125
4177,Included additional related documents (ps).,164,626,366,640,13,14,201
4178,Changed necessary normal ranges to match Soft (mm),164,613,421,627,13,14,256
4179,Changed the Reticulocyte normal range based on the normal range,164,600,482,614,13,14,318
4180,"study done after Sysmex had done ""Standardization"" on the",164,588,446,602,13,14,282
4181,Sysmex XEs (ps).,164,577,248,591,13,14,83
4182,Changed reference range to match MCR for fibrinogen.,164,563,422,577,13,14,258
4183,Added the reference range for synovial fluid (ps).,164,550,392,564,13,14,228
4184,Minor revision (ps).,164,537,254,551,13,14,89
4185,Content Information,56,510,168,526,13,15,112
4186,"Contact: Ward, Edith (Edie)",56,486,178,500,13,13,121
4187,Content ID: DOCMAN-0000116216,56,475,215,489,13,13,158
4188,Release Date: 05/28/2014,56,463,168,477,13,13,111
4189,Site(s): Arizona,56,451,126,465,13,13,69
4190,"Workflow Reviewer Name(s): Salalac, Pamela I.",56,427,265,441,13,13,209
4191,"Workflow Approver Name(s): Valdez, Riccardo, M.D.;",56,416,294,429,13,13,237
4192,"Hernandez, James S., M.D.",56,404,174,418,13,13,118
4193,Next Review Date: 06/08/2015,56,392,190,406,13,13,134
4194,Comments: replaces CL6.08.0005,56,368,203,382,13,13,146
4195,COPYRIGHT © Mayo Foundation for Medical Education and Research. This information is intended for use by,56,344,535,358,13,13,478
4196,employees of Mayo Clinic and its subsidiaries only. It is confidential and no part of it may be transmitted in any form,56,332,556,346,13,13,499
4197,"by electronic, mechanical, photocopying, or any other means to anyone outside Mayo Clinic without the prior",56,321,523,335,13,13,466
4198,permission of Mayo Foundation for Medical Education and Research. Inappropriate use or dissemination of this,56,309,532,323,13,13,476
4199,information may result in disciplinary action.,56,297,253,311,13,13,196
4200,Master copies are retained on-line. Printed copies are considered current only on the date printed.,56,273,472,287,13,13,416
4201,,56,536,481,738,13,201,425
4202,2/13/2012,57,711,107,725,13,14,49
4203,7/4/2012,57,698,101,712,13,14,43
4204,8/20/2012,57,613,107,627,13,14,49
4205,1/14/2013,57,600,107,614,13,14,49
4206,5/29/2013,57,563,107,577,13,14,49
4207,4/3/2014,57,550,101,564,13,14,43
4208,5/22/2014,57,537,107,551,13,14,49
4209,,57,724,163,737,13,13,106
4210,,163,724,481,737,13,13,317
4211,,57,711,163,724,13,13,106
4212,,163,711,481,724,13,13,317
4213,,57,626,163,711,13,84,106
4214,,163,626,481,711,13,84,317
4215,,163,626,481,711,13,84,317
4216,Moved the CSF and Body fluid values before the Coagulation,164,662,453,676,13,14,289
4217,normal values(ps).,164,650,253,665,13,14,89
4218,,57,613,163,626,13,13,106
4219,,163,613,481,626,13,13,317
4220,,57,576,163,613,13,36,106
4221,,163,576,481,613,13,36,317
4222,,57,563,163,576,13,13,106
4223,,163,563,481,576,13,13,317
4224,,57,550,163,563,13,13,106
4225,,163,550,481,563,13,13,317
4226,,57,537,163,550,13,13,106
4227,,163,537,481,550,13,13,317
4228,Policies and Procedures - UCM System,54,778,244,794,14,15,190
4229,Page 1 of 2,503,778,558,794,14,15,54
4230,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000117682,54,0,379,15,14,15,325
4231,7/9/2014,515,0,558,15,14,15,42
4232,,0,0,612,792,14,791,612
4233,Laboratory Medicine and Pathology: Arizona,56,711,251,725,14,13,194
4234,Urinalysis and Serology Normal Ranges,56,675,463,704,14,29,406
4235,Content Applies To,56,645,205,667,14,22,149
4236,"Mayo Clinic in Arizona: Core Laboratory, Division of Laboratory Medicine",56,621,401,635,14,14,345
4237,Guideline,56,591,132,613,14,22,76
4238,Urinalysis and Serology Normal Ranges,205,567,411,581,14,14,206
4239,"Mayo Clinic Scottsdale, 13400 East Shea Boulevard, Scottsdale, AZ 85259",57,541,408,555,14,14,350
4240,"Mayo Clinic Hospital, 5777 East Mayo Boulevard, Phoenix, AZ 85054",57,528,381,542,14,14,323
4241,0-3NegativeRelatedDocuments,56,70,285,310,14,239,229
4242,Hemoglobin,57,282,116,297,14,14,58
4243,Dipstick Clarity,57,269,130,283,14,14,72
4244,Urinalysis Microscopic:,57,256,179,271,14,14,121
4245,White Blood Cells,57,243,143,257,14,14,85
4246,Red Blood Cells,57,230,136,244,14,14,78
4247,Squamous Epithelial,57,217,156,231,14,14,98
4248,Serology Tests:,57,204,139,219,14,14,81
4249,Occult Blood,57,191,120,205,14,14,62
4250,Rheumatoid Factor,57,178,150,192,14,14,92
4251,Monospot Screen,57,164,143,179,14,14,85
4252,0.1-1.0,195,296,231,310,14,14,35
4253,Negative,195,282,240,297,14,14,44
4254,No Normal Range,195,269,280,283,14,14,84
4255,,195,256,201,270,14,13,5
4256,0-3,195,243,213,257,14,14,17
4257,0-2,195,230,213,244,14,14,17
4258,No Normal Range,195,217,280,231,14,14,84
4259,,195,204,201,218,14,13,5
4260,Negative,195,191,240,205,14,14,44
4261,0 - 39,195,178,225,192,14,14,29
4262,Negative,195,164,240,179,14,14,44
4263,Non-reactive is,195,151,269,165,14,14,73
4264,considered normal,195,140,285,154,14,14,89
4265,(NRN),195,128,228,142,14,14,32
4266,Negative,195,115,240,129,14,14,44
4267,Coccidioides Antibody,57,115,164,129,14,14,106
4268,"Pregnancy, Qualitative",57,102,166,116,14,14,108
4269,,195,102,201,115,14,13,5
4270,Related Documents,56,70,208,92,14,22,151
4271,RPR,57,140,82,154,14,14,24
4272,RPR,57,140,82,154,14,14,24
4273,,56,100,495,554,14,454,438
4274,,56,100,495,554,14,454,438
4275,NORMAL RANGE,252,490,339,505,14,14,87
4276,ANALYTE,101,490,153,505,14,14,52
4277,,57,477,63,491,14,13,5
4278,Urinalysis Macroscopic:,57,464,182,479,14,14,124
4279,Color,57,451,85,465,14,14,27
4280,Specific Gravity,57,438,133,452,14,14,75
4281,Leukocyte Esterase,57,425,153,439,14,14,95
4282,Nitrite,57,411,88,426,14,14,30
4283,pH,57,398,74,412,14,14,16
4284,Protein Qualitative,57,385,146,399,14,14,88
4285,Glucose Qualitative,57,372,152,386,14,14,94
4286,Ketones,57,359,99,373,14,14,41
4287,Bilirubin,57,346,98,360,14,14,40
4288,Bilirubin Confirmation,57,333,160,347,14,14,102
4289,Male,234,477,257,492,14,14,23
4290,,195,464,201,478,14,13,5
4291,No Normal Range,195,451,280,465,14,14,84
4292,1.002-1.030,195,438,252,452,14,14,56
4293,Negative,195,425,240,439,14,14,44
4294,Negative,195,411,240,426,14,14,44
4295,4.5-8.0,195,398,231,412,14,14,35
4296,Negative,195,385,240,399,14,14,44
4297,Negative,195,372,240,386,14,14,44
4298,Negative,195,359,240,373,14,14,44
4299,Negative,195,346,240,360,14,14,44
4300,No Normal Range,195,333,280,347,14,14,84
4301,Normal,195,320,232,334,14,14,36
4302,Female,329,477,365,492,14,14,36
4303,,297,464,302,478,14,13,5
4304,No Normal Range,297,451,382,465,14,14,84
4305,1.002-1.030,297,438,353,452,14,14,56
4306,Negative,297,425,339,439,14,14,41
4307,Negative,297,412,339,426,14,14,41
4308,4.5-8.0,297,398,330,412,14,14,32
4309,Negative,297,385,339,399,14,14,41
4310,Negative,297,372,339,386,14,14,41
4311,Negative,297,359,339,373,14,14,41
4312,Negative,297,346,339,360,14,14,41
4313,No Normal Range,297,333,382,347,14,14,84
4314,Normal,297,320,334,334,14,14,36
4315,0-3Negative,297,102,387,310,14,208,89
4316,0.1-1.0,297,296,330,310,14,14,32
4317,Negative,297,283,339,297,14,14,41
4318,No Normal Range,297,269,382,283,14,14,84
4319,,300,256,302,270,14,13,2
4320,0-3,297,243,312,257,14,14,15
4321,0-2,297,230,312,244,14,14,15
4322,No Normal Range,297,217,382,231,14,14,84
4323,,300,204,302,218,14,13,2
4324,Negative,297,191,339,205,14,14,41
4325,0 - 39,297,178,324,192,14,14,26
4326,Negative,297,164,339,179,14,14,41
4327,Non-reactive is,297,151,370,165,14,14,73
4328,considered normal,297,140,387,154,14,14,89
4329,(NRN),297,128,327,142,14,14,29
4330,Negative,297,115,339,129,14,14,41
4331,Negative,297,102,339,116,14,14,41
4332,Units of Measure,399,490,486,505,14,14,87
4333,,401,477,404,491,14,13,2
4334,,399,464,404,478,14,13,5
4335,,401,451,404,465,14,13,2
4336,,399,438,404,452,14,13,5
4337,,399,412,404,425,14,13,5
4338,mg/dL,399,385,428,399,14,14,29
4339,mg/dL,399,372,428,386,14,14,29
4340,mg/dL,399,359,428,373,14,14,29
4341,,399,333,404,347,14,13,5
4342,mg/dL,399,320,431,334,14,14,31
4343,/hpf/hpf,399,217,416,296,14,79,17
4344,,399,283,404,296,14,13,5
4345,,399,269,404,283,14,13,5
4346,,399,256,404,270,14,13,5
4347,/hpf,399,243,416,257,14,14,17
4348,/hpf,399,230,416,244,14,14,17
4349,/lpf,399,217,413,231,14,14,14
4350,,399,191,404,205,14,13,5
4351,IU/mL,399,178,427,192,14,14,28
4352,,399,165,404,178,14,13,5
4353,,399,115,404,129,14,13,5
4354,,399,102,404,115,14,13,5
4355,,57,541,494,554,14,13,437
4356,,57,528,494,541,14,13,437
4357,,57,503,494,528,14,24,437
4358,,57,503,494,528,14,24,437
4359,URINALYSIS/SEROLOGY RESULTS,184,503,363,518,14,14,178
4360,,57,489,195,503,14,13,137
4361,,195,489,398,503,14,13,203
4362,,398,489,494,503,14,13,96
4363,,57,476,195,489,14,13,137
4364,,195,476,296,489,14,13,101
4365,,296,476,398,489,14,13,101
4366,,398,476,494,489,14,13,96
4367,,57,463,195,476,14,13,137
4368,,195,463,296,476,14,13,101
4369,,296,463,398,476,14,13,101
4370,,398,463,494,476,14,13,96
4371,,57,450,195,463,14,13,137
4372,,195,450,296,463,14,13,101
4373,,296,450,398,463,14,13,101
4374,,398,450,494,463,14,13,96
4375,,57,437,195,450,14,13,137
4376,,195,437,296,450,14,13,101
4377,,296,437,398,450,14,13,101
4378,,398,437,494,450,14,13,96
4379,,57,424,195,437,14,13,137
4380,,195,424,296,437,14,13,101
4381,,296,424,398,437,14,13,101
4382,,398,424,494,437,14,13,96
4383,,57,411,195,424,14,13,137
4384,,195,411,296,424,14,13,101
4385,,296,411,398,424,14,13,101
4386,,398,411,494,424,14,13,96
4387,,57,398,195,411,14,13,137
4388,,195,398,296,411,14,13,101
4389,,296,398,398,411,14,13,101
4390,,398,398,494,411,14,13,96
4391,,57,385,195,398,14,13,137
4392,,195,385,296,398,14,13,101
4393,,296,385,398,398,14,13,101
4394,,398,385,494,398,14,13,96
4395,,57,372,195,385,14,13,137
4396,,195,372,296,385,14,13,101
4397,,296,372,398,385,14,13,101
4398,,398,372,494,385,14,13,96
4399,,57,358,195,372,14,13,137
4400,,195,358,296,372,14,13,101
4401,,296,358,398,372,14,13,101
4402,,398,358,494,372,14,13,96
4403,,57,345,195,358,14,13,137
4404,,195,345,296,358,14,13,101
4405,,296,345,398,358,14,13,101
4406,,398,345,494,358,14,13,96
4407,,57,332,195,345,14,13,137
4408,,195,332,296,345,14,13,101
4409,,296,332,398,345,14,13,101
4410,,398,332,494,345,14,13,96
4411,,57,295,195,332,14,37,137
4412,,57,295,195,332,14,37,137
4413,Urobilinogen,57,308,119,322,14,14,61
4414,,195,295,296,332,14,37,101
4415,,296,295,398,332,14,37,101
4416,,398,295,494,332,14,37,96
4417,,195,282,296,295,14,13,101
4418,,296,282,398,295,14,13,101
4419,,398,282,494,295,14,13,96
4420,,195,269,296,282,14,13,101
4421,,296,269,398,282,14,13,101
4422,,398,269,494,282,14,13,96
4423,,195,256,296,269,14,13,101
4424,,296,256,398,269,14,13,101
4425,,398,256,494,269,14,13,96
4426,,195,243,296,256,14,13,101
4427,,296,243,398,256,14,13,101
4428,,398,243,494,256,14,13,96
4429,,195,229,296,243,14,13,101
4430,,296,229,398,243,14,13,101
4431,,398,229,494,243,14,13,96
4432,,195,216,296,229,14,13,101
4433,,296,216,398,229,14,13,101
4434,,398,216,494,229,14,13,96
4435,,195,203,296,216,14,13,101
4436,,296,203,398,216,14,13,101
4437,,398,203,494,216,14,13,96
4438,,195,190,296,203,14,13,101
4439,,296,190,398,203,14,13,101
4440,,398,190,494,203,14,13,96
4441,,195,177,296,190,14,13,101
4442,,296,177,398,190,14,13,101
4443,,398,177,494,190,14,13,96
4444,,195,164,296,177,14,13,101
4445,,296,164,398,177,14,13,101
4446,,398,164,494,177,14,13,96
4447,,195,127,296,164,14,36,101
4448,,296,127,398,164,14,36,101
4449,,398,127,494,164,14,36,96
4450,,398,127,494,164,14,36,96
4451,,399,140,404,154,14,13,5
4452,,195,114,296,127,14,13,101
4453,,296,114,398,127,14,13,101
4454,,398,114,494,127,14,13,96
4455,,195,101,296,114,14,13,101
4456,,296,101,398,114,14,13,101
4457,,398,101,494,114,14,13,96
4458,,56,54,480,58,14,4,423
4459,,57,54,479,57,14,3,422
4460,Policies and Procedures - UCM System,54,778,244,794,15,15,190
4461,Page 2 of 2,503,778,558,794,15,15,54
4462,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000117682,54,0,379,15,15,15,325
4463,7/9/2014,515,0,558,15,15,15,42
4464,,0,0,612,792,15,791,612
4465,None,57,724,85,738,15,14,27
4466,References,56,693,145,715,15,22,89
4467,None,56,669,87,683,15,14,30
4468,Document History,56,639,197,661,15,22,140
4469,Date Updated,57,613,128,628,15,14,70
4470,1/9/12,57,600,89,614,15,14,31
4471,4/26/12,57,587,95,601,15,14,37
4472,03/24/2014,57,574,113,588,15,14,55
4473,5/7/14,57,561,89,575,15,14,31
4474,Synopsis of Change,164,614,265,628,15,14,101
4475,Updated for pregnancy normal,164,600,306,614,15,14,142
4476,Expanded urinalysis normals,164,587,299,601,15,14,134
4477,Scheduled review,164,574,247,588,15,14,83
4478,Removed Rubella (pw),164,561,271,575,15,14,107
4479,Content Information,56,510,168,526,15,15,112
4480,"Contact: Ward, Edith (Edie)",56,486,178,500,15,13,121
4481,Content ID: DOCMAN-0000117682,56,474,215,488,15,13,158
4482,Release Date: 06/25/2014,56,463,168,477,15,13,111
4483,Site(s): Arizona,56,451,126,465,15,13,69
4484,"Workflow Reviewer Name(s): Mansfield, Michael N.;",56,427,288,441,15,13,232
4485,"Marver, Christina L., MT(ASCP)",56,415,200,429,15,13,143
4486,"Workflow Approver Name(s): Grys, Thomas E., Ph.D.;",56,404,294,418,15,13,237
4487,"Hernandez, James S., M.D.",56,392,174,406,15,13,118
4488,Next Review Date: 08/10/2015,56,380,190,394,15,13,134
4489,Comments: replaces CL6.16.0006,56,356,203,370,15,13,146
4490,v. 1,538,536,557,550,15,14,19
4491,COPYRIGHT © Mayo Foundation for Medical Education and Research. This information is intended for use by,56,332,535,346,15,13,478
4492,employees of Mayo Clinic and its subsidiaries only. It is confidential and no part of it may be transmitted in any form,56,320,556,334,15,13,499
4493,"by electronic, mechanical, photocopying, or any other means to anyone outside Mayo Clinic without the prior",56,309,523,323,15,13,466
4494,permission of Mayo Foundation for Medical Education and Research. Inappropriate use or dissemination of this,56,297,532,311,15,13,476
4495,information may result in disciplinary action.,56,285,253,299,15,13,196
4496,Master copies are retained on-line. Printed copies are considered current only on the date printed.,56,261,472,275,15,13,416
4497,,56,723,480,738,15,14,423
4498,,56,560,481,627,15,66,425
4499,,56,560,481,627,15,66,425
4500,,163,613,481,626,15,13,317
4501,,163,600,481,613,15,13,317
4502,,163,587,481,600,15,13,317
4503,,163,574,481,587,15,13,317
4504,,57,560,163,574,15,13,106
4505,,163,560,481,574,15,13,317
4506,Policies and Procedures - UCM System,54,778,244,794,16,15,190
4507,Page 1 of 4,503,778,558,794,16,15,54
4508,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116216,54,0,379,15,16,15,325
4509,6/13/2014,509,0,558,15,16,15,48
4510,,0,0,612,792,16,791,612
4511,Laboratory Medicine and Pathology: Arizona,56,711,251,725,16,13,194
4512,Mayo Clinic in Arizona Published Normal Ranges,56,675,555,704,16,29,498
4513,for Hematology and Coagulation Analytes,56,651,481,681,16,29,425
4514,Content Applies To,56,621,205,643,16,22,149
4515,"Mayo Clinic in Arizona: Hematology Laboratory, Division of Hematopathology",56,597,422,611,16,14,365
4516,Purpose,56,567,123,589,16,22,67
4517,The purpose of this information is to identify the laboratory hematology tests and their respective normal,56,543,544,557,16,14,487
4518,ranges.,56,531,97,545,16,14,40
4519,Guideline,56,501,132,523,16,22,76
4520,This list pertains to testing that is performed at Mayo Clinic in Arizona.,56,477,385,491,16,14,328
4521,"Mayo Clinic Scottsdale, 13400 E. Shea Boulevard, Scottsdale,AZ 85259",57,452,394,466,16,14,336
4522,"Mayo Clinic Hospital, 5777 East Mayo Boulevard, Phoenix, AZ 85054",57,439,381,453,16,14,323
4523,,57,426,63,439,16,13,5
4524,Sedimentation Rate,57,99,159,114,16,14,101
4525,,57,86,63,100,16,13,5
4526,MALE,180,99,212,114,16,14,32
4527,0 - 22,180,86,209,100,16,14,29
4528,FEMALE,297,99,340,114,16,14,43
4529,0 - 29,297,86,324,100,16,14,26
4530,Units of Measure,362,99,449,114,16,14,87
4531,Mm/hr,362,86,392,100,16,14,29
4532,Body Fluid,57,59,115,74,16,14,57
4533,,56,124,484,465,16,340,427
4534,,56,124,484,465,16,340,427
4535,HEMATOLOGY RESULTS,204,413,332,427,16,14,127
4536,ReticulocyteCount,57,126,167,408,16,282,109
4537,ANALYTE,57,393,110,408,16,14,52
4538,CBC Parameters,57,374,143,389,16,14,85
4539,WBC (white cell count),57,360,167,374,16,14,109
4540,RBC (red cell count),57,344,155,359,16,14,97
4541,HGB (hemoglobin),57,330,148,344,16,14,90
4542,HCT (hematocrit),57,317,141,331,16,14,83
4543,PLT (platelet count),57,303,152,317,16,14,94
4544,MCV,57,288,87,302,16,14,29
4545,MCH,57,275,84,289,16,14,26
4546,MCHC,57,262,92,276,16,14,34
4547,RDW,57,249,85,263,16,14,27
4548,MPV,57,236,83,250,16,14,25
4549,Differential Count,57,221,149,236,16,14,91
4550,Neutrophils,57,207,114,221,16,14,56
4551,Lymphocytes,57,194,122,208,16,14,64
4552,Monocytes,57,181,111,195,16,14,53
4553,Eosinophils,57,168,114,182,16,14,56
4554,Basophils,57,155,106,169,16,14,48
4555,,57,140,63,154,16,13,5
4556,Reticulocyte Count,57,126,149,140,16,14,91
4557,NORMAL RANGE,180,393,270,408,16,14,90
4558,MALE,180,374,212,389,16,14,32
4559,4.2 - 10.2,180,360,227,374,16,14,47
4560,4.21 - 5.61,180,344,233,359,16,14,53
4561,13.5 - 17.5,180,330,233,344,16,14,53
4562,38.8 - 50.0,180,317,233,331,16,14,53
4563,151 - 355,180,303,227,317,16,14,47
4564,80.8 - 96.6,180,288,233,302,16,14,53
4565,27.4 - 33.4,180,275,233,289,16,14,53
4566,33.4 - 35.1,180,262,233,276,16,14,53
4567,11.8 - 15.6,180,249,233,263,16,14,53
4568,6.3 - 10.3,180,236,230,250,16,14,50
4569,Percentages %,180,221,257,236,16,14,77
4570,42 - 75,180,207,215,221,16,14,35
4571,18 - 52,180,194,215,208,16,14,35
4572,4 - 12,180,181,209,195,16,14,29
4573,0 - 10,180,168,209,182,16,14,29
4574,0 - 4,180,155,203,169,16,14,23
4575,Percentages %,180,140,257,155,16,14,77
4576,0.77 - 2.36,180,126,233,140,16,14,53
4577,FEMALE,297,374,340,389,16,14,43
4578,3.4 - 10.6,297,360,347,374,16,14,50
4579,3.68 - 4.88,297,344,350,359,16,14,53
4580,12.0 - 15.5,297,330,347,344,16,14,50
4581,34.9 - 44.5,297,317,347,331,16,14,50
4582,149 - 375,297,303,344,317,16,14,47
4583,82.7 - 96.8,297,288,347,302,16,14,50
4584,28.1 - 33.7,297,275,347,289,16,14,50
4585,33.1 - 35.6,297,262,347,276,16,14,50
4586,11.9 - 15.5,297,249,347,263,16,14,50
4587,6.6 - 10.6,297,236,342,250,16,14,44
4588,Absolutes X109/L,297,220,387,237,16,16,89
4589,1.4 - 6.6,297,207,336,221,16,14,38
4590,1.0 - 3.4,297,194,336,208,16,14,38
4591,0.2 - 0.8,297,181,336,195,16,14,38
4592,0.0 - 0.4,297,168,336,182,16,14,38
4593,0.0 - 0.2,297,155,336,169,16,14,38
4594,Absolutes X109/L,297,139,387,155,16,16,89
4595,38.1 - 112.6,297,126,353,140,16,14,56
4596,X109/L,404,126,449,414,16,288,45
4597,Units of,404,399,446,414,16,14,42
4598,Measure,404,388,449,402,16,14,45
4599,,404,374,407,389,16,14,2
4600,X109/L,404,359,439,375,16,16,35
4601,X1012/L,404,343,444,360,16,16,39
4602,g/dL,404,330,425,344,16,14,20
4603,%,404,317,413,331,16,14,9
4604,X109/L,404,301,439,318,16,16,35
4605,fL,404,288,413,302,16,14,8
4606,pg,404,275,416,289,16,14,11
4607,g/dL,404,262,425,276,16,14,20
4608,%,404,249,413,263,16,14,9
4609,fL,404,236,413,250,16,14,8
4610,,404,221,409,235,16,13,5
4611,,407,207,409,221,16,13,2
4612,,404,194,409,208,16,13,5
4613,,407,181,409,195,16,13,2
4614,,404,168,409,182,16,13,5
4615,,407,155,409,168,16,13,2
4616,,404,140,409,154,16,13,5
4617,,404,126,409,140,16,13,5
4618,,57,451,483,464,16,13,426
4619,,57,438,483,451,16,13,426
4620,,57,425,483,438,16,13,426
4621,,57,412,483,425,16,13,426
4622,,57,387,179,412,16,24,122
4623,,179,387,403,412,16,24,224
4624,,403,387,483,412,16,24,79
4625,,57,374,179,387,16,13,122
4626,,179,374,296,387,16,13,117
4627,,296,374,403,387,16,13,106
4628,,403,374,483,387,16,13,79
4629,,57,358,179,374,16,15,122
4630,,179,358,296,374,16,15,117
4631,,296,358,403,374,16,15,106
4632,,403,358,483,374,16,15,79
4633,,57,343,179,358,16,15,122
4634,,179,343,296,358,16,15,117
4635,,296,343,403,358,16,15,106
4636,,403,343,483,358,16,15,79
4637,,57,329,179,343,16,13,122
4638,,179,329,296,343,16,13,117
4639,,296,329,403,343,16,13,106
4640,,403,329,483,343,16,13,79
4641,,57,316,179,329,16,13,122
4642,,179,316,296,329,16,13,117
4643,,296,316,403,329,16,13,106
4644,,403,316,483,329,16,13,79
4645,,57,301,179,316,16,15,122
4646,,179,301,296,316,16,15,117
4647,,296,301,403,316,16,15,106
4648,,403,301,483,316,16,15,79
4649,,57,288,179,301,16,13,122
4650,,179,288,296,301,16,13,117
4651,,296,288,403,301,16,13,106
4652,,403,288,483,301,16,13,79
4653,,57,274,179,288,16,13,122
4654,,179,274,296,288,16,13,117
4655,,296,274,403,288,16,13,106
4656,,403,274,483,288,16,13,79
4657,,57,261,179,274,16,13,122
4658,,179,261,296,274,16,13,117
4659,,296,261,403,274,16,13,106
4660,,403,261,483,274,16,13,79
4661,,57,248,179,261,16,13,122
4662,,179,248,296,261,16,13,117
4663,,296,248,403,261,16,13,106
4664,,403,248,483,261,16,13,79
4665,,57,235,179,248,16,13,122
4666,,179,235,296,248,16,13,117
4667,,296,235,403,248,16,13,106
4668,,403,235,483,248,16,13,79
4669,,57,219,179,235,16,15,122
4670,,179,219,296,235,16,15,117
4671,,296,219,403,235,16,15,106
4672,,403,219,483,235,16,15,79
4673,,57,206,179,219,16,13,122
4674,,179,206,296,219,16,13,117
4675,,296,206,403,219,16,13,106
4676,,403,206,483,219,16,13,79
4677,,57,193,179,206,16,13,122
4678,,179,193,296,206,16,13,117
4679,,296,193,403,206,16,13,106
4680,,403,193,483,206,16,13,79
4681,,57,180,179,193,16,13,122
4682,,179,180,296,193,16,13,117
4683,,296,180,403,193,16,13,106
4684,,403,180,483,193,16,13,79
4685,,57,167,179,180,16,13,122
4686,,179,167,296,180,16,13,117
4687,,296,167,403,180,16,13,106
4688,,403,167,483,180,16,13,79
4689,,57,154,179,167,16,13,122
4690,,179,154,296,167,16,13,117
4691,,296,154,403,167,16,13,106
4692,,403,154,483,167,16,13,79
4693,,57,138,179,154,16,15,122
4694,,179,138,296,154,16,15,117
4695,,296,138,403,154,16,15,106
4696,,403,138,483,154,16,15,79
4697,,57,125,179,138,16,13,122
4698,,179,125,296,138,16,13,117
4699,,296,125,403,138,16,13,106
4700,,403,125,483,138,16,13,79
4701,,56,85,484,112,16,27,428
4702,,56,85,484,112,16,27,428
4703,,57,98,179,112,16,13,122
4704,,179,98,296,112,16,13,117
4705,,296,98,361,112,16,13,64
4706,,361,98,484,112,16,13,122
4707,,57,85,179,98,16,13,122
4708,,179,85,296,98,16,13,117
4709,,296,85,361,98,16,13,64
4710,,361,85,484,98,16,13,122
4711,,56,54,484,72,16,18,427
4712,,57,54,179,72,16,17,122
4713,,179,54,296,72,16,17,117
4714,,296,54,403,72,16,17,106
4715,,403,54,483,72,16,17,79
4716,Units of,404,55,446,70,16,14,42
4717,Policies and Procedures - UCM System,54,778,244,794,17,15,190
4718,Page 2 of 4,503,778,558,794,17,15,54
4719,http://mayocontent.mayo.edu/dlmpaz/print/DOCMAN-0000116216,54,0,379,15,17,15,325
4720,6/13/2014,509,0,558,15,17,15,48
4721,,0,0,612,792,17,791,612
4722,0-5,180,621,212,739,17,118,32
4723,MALE,180,724,212,739,17,14,32
4724,,180,711,185,725,17,13,5
4725,0,180,698,188,712,17,14,8
4726,0 - 5,180,685,203,699,17,14,23
4727,,180,666,185,680,17,13,5
4728,<500,180,647,206,661,17,14,26
4729,,180,634,185,648,17,13,5
4730,<150,180,621,206,635,17,14,26
4731,0-5,297,621,340,739,17,118,43
4732,FEMALE,297,724,340,739,17,14,43
4733,,297,711,302,725,17,13,5
4734,0,297,698,303,712,17,14,5
4735,0 - 5,297,685,318,699,17,14,21
4736,,297,666,302,680,17,13,5
4737,<500,297,647,321,661,17,14,23
4738,,297,634,302,648,17,13,5
4739,<150,297,621,321,635,17,14,23
4740,/µL/µL,404,621,449,739,17,118,45
4741,Measure,404,724,449,739,17,14,45
4742,,404,711,409,725,17,13,5
4743,/µL,404,698,419,712,17,14,14
4744,/µL,404,685,419,699,17,14,14
4745,,404,666,409,680,17,13,5
4746,/µL,404,647,419,661,17,14,14
4747,,404,634,409,648,17,13,5
4748,/µL,404,621,419,635,17,14,14
4749,Heparin Anti Xa,57,465,139,480,17,14,81
4750,Heparin PF4 Antibody,57,389,171,403,17,14,113
4751,(HIT),57,377,84,391,17,14,26
4752,Percent Reactivity,57,364,145,378,17,14,87
4753,Interpretation,57,350,122,365,17,14,64
4754,Factor Assay,57,324,126,339,17,14,68
4755,Fibrin Monomer,57,180,140,195,17,14,82
4756,Thromboelastograph (TEG),57,129,197,143,17,14,139
4757,Liver specimen &,57,116,148,130,17,14,90
4758,Kaolin,57,104,92,119,17,14,34
4759,RTM,57,91,83,105,17,14,25
4760,KTM,57,78,82,92,17,14,24
4761,Ang,57,64,79,79,17,14,21
4762,,180,110,185,124,17,13,5
4763,Units of,404,465,446,480,17,14,42
4764,Measure,404,453,449,468,17,14,45
4765,IU/mL,404,440,435,454,17,14,30
4766,IU/mL,404,421,435,435,17,14,30
4767,Units of,404,389,446,403,17,14,42
4768,Measure,404,377,449,391,17,14,45
4769,%,404,364,413,378,17,14,9
4770,,404,351,409,364,17,13,5
4771,Units of,404,324,446,339,17,14,42
4772,Measure,404,312,449,327,17,14,45
4773,%,404,299,413,313,17,14,9
4774,%,404,286,413,300,17,14,9
